Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C2,0603,1,10uF,
C3,0603,1,0.1u,
C4,0603,1,0.1u,
D1,SOT-23,1,DESD2CAN2SOQ-7,
D2,0603,1,LED,
D3,SOT-143,1,SP0503BAHT,
"D4, D5, D6",SOT-23,3,SP0502BAHT,
D7,0603,1,TS4148C RZG,
"J1, J2",TE_1-776266-1_14pin_Horizontal,2,Conn_01x14,
J3,TE_1-776280-1_8pin_Horizontal,1,Conn_01x08,
Q1,SOT-23,1,2N7002,
R1,0603,1,120,
R2,0603,1,330,
R3,0603,1,10k,
R4,0603,1,100,
R5,0603,1,100,
R6,0603,1,100,
R7,0603,1,10k,
R8,0603,1,10k,
R9,0603,1,100,
U1,SOIC127P600X175-8N,1,MAX33054EASA+T,
U2,TO-252-2,1,TS2940CP33_ROG,
U3,ESP32-DevKitC,1,ESP32-DevKitC,
